y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0.0,3.006,-0.864,-3.249,-2.486,-2.044,-2.428,-1.522,-0.76,2.261,-1.21
3.0,-3.068,-0.98,3.977,-0.096,1.223,1.381,3.583,1.026,-1.607,-0.736
3.0,0.419,-0.588,1.572,1.267,1.509,1.384,2.744,1.784,-1.783,-0.646
3.0,-1.256,-1.803,1.237,3.04,3.229,0.723,0.405,2.081,-3.205,-3.119
2.0,-0.372,5.995,0.147,0.959,0.303,-1.341,-0.139,2.183,-0.86,-3.019
3.0,2.963,-1.424,4.495,2.105,1.722,-1.997,1.635,2.229,-1.889,0.143
1.0,1.498,-2.315,2.799,-3.51,1.432,0.479,2.841,3.624,-0.458,2.341
0.0,-0.468,0.054,-0.449,-3.426,4.841,2.472,-2.863,-0.857,4.613,-0.323
3.0,1.211,1.061,2.284,-1.13,0.271,1.222,3.417,1.725,-5.183,1.458
2.0,-1.947,4.33,0.493,0.837,-1.412,0.634,0.704,-0.478,-4.03,-0.03
1.0,-0.445,-0.805,3.341,-2.889,0.533,1.226,1.443,0.116,-0.945,0.528
1.0,1.63,4.025,-1.287,-0.487,-3.756,2.888,1.849,0.869,-2.442,0.664
0.0,0.44,-0.997,-2.723,-2.189,-4.315,1.508,2.297,5.775,0.184,0.314
3.0,-1.622,-0.587,-0.076,0.53,2.114,1.477,0.644,2.028,-0.441,-1.079
1.0,1.296,3.158,1.044,-2.4,-3.697,1.581,2.644,-0.714,-3.44,2.313
1.0,-1.046,1.804,0.207,-1.422,-3.212,0.279,0.694,-0.073,-1.038,2.825
0.0,0.287,-2.265,-4.124,1.221,2.373,-0.954,2.648,3.645,-0.72,-1.794
1.0,2.056,2.198,2.837,-0.184,-2.519,2.355,0.184,1.309,-1.684,1.79
3.0,-0.019,-1.322,0.471,0.59,0.023,0.474,4.442,1.433,-3.296,-0.517
0.0,2.471,1.116,1.598,-1.181,1.846,-1.487,-2.513,-0.476,2.959,-1.077
1.0,3.753,1.041,4.603,-2.574,-1.048,-1.332,0.838,1.719,-2.721,4.444
3.0,-0.705,0.7,2.923,3.091,0.801,2.191,4.409,2.076,-1.927,1.563
0.0,4.091,2.392,-1.967,-1.453,-0.664,-1.61,1.21,3.457,0.914,-0.991
3.0,-1.111,0.798,2.649,2.802,-1.584,0.219,1.936,0.993,-4.386,1.641
2.0,-2.448,3.8,-3.209,0.486,3.212,1.511,0.504,0.206,-1.321,-1.623
2.0,-2.682,2.667,-1.178,-0.253,3.719,3.773,0.766,1.144,-0.761,-5.332
3.0,-0.145,-0.451,1.594,0.864,2.294,0.416,3.025,2.679,-3.041,-0.18
1.0,3.433,2.597,2.457,-1.937,2.264,2.241,3.576,4.806,-0.11,0.116
2.0,0.726,2.226,1.199,-1.9,-1.299,1.305,0.314,1.78,-1.323,0.265
0.0,-1.464,0.984,3.926,6.017,2.899,2.564,2.117,3.554,-3.541,-0.556
2.0,-3.446,1.316,-3.694,0.215,3.784,-0.535,2.116,1.906,-0.009,-3.143
0.0,3.224,1.835,-0.432,0.211,-1.27,-1.722,-0.062,0.656,0.449,-0.542
1.0,3.242,-1.038,-0.289,-3.953,-2.556,-1.523,2.404,3.829,-2.694,3.076
0.0,-0.62,-2.046,-4.234,-3.727,1.545,-1.176,-1.349,0.219,3.765,-1.678
3.0,-1.668,0.409,0.698,-1.746,-0.655,2.985,2.086,0.3,-1.296,2.461
1.0,1.712,0.665,0.894,-3.06,-2.371,1.799,2.477,0.508,-2.019,0.384
3.0,-3.954,1.425,0.707,4.691,4.317,5.227,-0.421,1.741,-0.046,-1.569
0.0,3.939,1.827,-4.904,-2.233,1.035,-2.036,0.044,3.997,4.449,-2.275
3.0,0.616,-1.013,-3.435,-3.761,0.984,-3.041,2.071,2.657,-2.43,1.869
0.0,1.866,0.44,-1.491,-0.156,-2.807,-4.779,-2.144,-0.549,-0.958,-1.503
1.0,1.114,2.796,3.149,2.319,-1.686,3.462,-2.782,-1.44,-2.999,0.182
0.0,3.649,1.448,-1.97,-1.347,-2.507,-4.314,1.527,1.31,-0.038,0.173
3.0,-1.321,-2.879,0.553,-1.27,1.471,3.377,-0.028,-0.01,0.808,-3.108
2.0,-2.536,3.784,-1.306,-1.329,2.353,1.147,0.762,0.521,-2.753,-3.742
2.0,-0.533,2.225,-1.357,2.091,0.586,-0.189,-1.068,0.906,-0.667,-0.502
1.0,0.04,-0.3,3.794,2.922,-0.118,5.526,-4.66,-0.782,-3.797,0.784
0.0,2.704,2.339,-1.287,-0.559,1.379,-0.781,-0.601,2.575,2.412,-1.055
3.0,-1.634,-3.301,-0.261,2.828,0.607,1.982,-0.412,-0.398,0.432,-3.798
3.0,-1.634,-4.685,-0.378,1.171,2.179,2.486,-1.248,1.853,1.167,-5.696
3.0,-0.012,-0.955,1.039,3.95,1.712,-0.167,0.153,3.977,-1.404,-1.203
2.0,-2.168,3.408,-1.662,0.118,2.833,-0.318,1.939,-0.445,-2.565,-3.092
3.0,-2.099,-1.982,1.717,-0.039,0.75,1.867,1.636,-0.261,0.035,-1.1
1.0,2.81,4.64,-0.854,-0.487,-3.644,2.46,2.726,2.647,-1.917,0.545
0.0,1.017,-1.089,-4.383,-4.33,2.536,2.826,-1.167,2.582,6.345,-1.945
2.0,-0.469,0.062,-2.243,-1.424,1.185,0.41,2.165,1.722,-2.775,0.242
2.0,0.89,1.758,1.37,-0.663,-1.901,0.65,2.706,2.995,-1.764,-1.363
0.0,3.359,-1.085,-2.659,-3.67,3.559,0.558,-5.026,1.432,6.855,-4.168
0.0,2.278,0.474,-4.393,-3.74,3.264,-0.459,-0.674,1.867,3.43,-2.149
1.0,2.092,0.605,1.584,-2.332,-1.41,-0.388,1.41,2.371,-2.821,3.427
3.0,0.098,-2.874,-1.794,2.86,0.984,-1.035,0.672,1.109,-0.044,-2.355
3.0,0.707,-0.742,1.081,3.478,-1.599,-0.004,1.705,0.666,-2.568,-0.514
1.0,0.831,0.943,1.6,-1.371,-1.477,1.675,0.759,-0.375,-2.0,2.563
1.0,2.259,2.272,1.604,0.056,-0.685,2.11,-0.526,0.903,-2.457,-0.165
2.0,-0.757,1.933,-1.768,-1.324,0.108,-0.826,0.722,1.529,-3.425,-0.854
0.0,-0.078,0.626,-2.523,-3.004,5.237,1.911,-2.935,2.464,3.378,-2.592
2.0,-1.198,-2.301,-2.771,-0.399,0.39,2.672,4.11,2.817,0.558,0.723
1.0,0.202,2.461,2.808,0.531,1.077,5.897,0.828,-2.081,-1.867,-0.268
3.0,-2.563,-0.824,4.792,-0.799,2.666,1.274,4.327,3.558,-5.399,-0.494
2.0,-1.861,2.902,-0.661,-1.512,1.237,2.818,1.116,1.694,-1.971,-2.728
3.0,-3.591,-1.316,3.213,1.391,4.038,5.36,-0.426,0.14,-4.039,-4.987
1.0,-1.286,0.117,1.52,-1.379,3.376,3.522,2.626,0.186,-0.408,1.728
3.0,-1.457,-3.737,-1.757,0.706,1.67,-1.257,0.735,2.494,-0.343,-3.435
2.0,-2.249,-0.612,-2.642,-0.552,3.598,0.866,2.522,0.429,-2.138,-2.336
2.0,0.018,-0.2,-1.837,-3.0,4.415,-1.37,-2.819,-1.56,4.796,-1.205
0.0,2.39,2.319,-1.024,-0.793,-0.152,-4.235,-1.62,4.222,-0.609,-3.689
1.0,0.026,-0.502,3.808,-1.047,0.469,1.959,-0.202,-1.497,-2.053,1.689
3.0,0.552,1.102,2.262,4.118,-0.148,2.749,2.91,1.512,-3.529,1.082
0.0,0.966,0.812,-1.731,-2.451,4.05,-2.33,-2.984,0.487,3.438,-2.226
2.0,-1.388,1.71,-0.919,3.661,0.684,-0.498,2.784,0.962,1.835,-1.23
2.0,-2.51,-0.908,-1.439,-1.648,1.164,2.963,3.747,0.527,-0.642,-0.441
2.0,-2.414,1.627,-2.668,-0.739,4.859,1.447,-0.355,1.607,-1.814,-3.62
3.0,-1.913,0.279,2.441,2.22,-0.848,3.894,1.995,-0.686,-4.233,0.446
3.0,-1.202,-1.355,4.579,-0.457,0.38,0.046,2.479,1.834,-4.828,-0.13
0.0,1.964,0.568,-1.301,-2.62,3.693,2.34,-2.002,2.807,5.116,-2.33
1.0,1.192,0.077,0.015,-2.952,-2.611,-2.997,0.398,3.721,-2.002,3.098
3.0,-3.155,-0.638,2.802,-0.326,3.317,4.673,1.833,2.438,-1.436,-1.721
0.0,3.608,3.343,-1.165,0.679,-1.569,-2.835,-1.072,3.052,-0.425,-1.5
0.0,6.008,-0.065,-4.422,-3.369,-1.156,-1.496,-0.49,2.463,4.05,-2.527
3.0,2.395,-0.27,3.303,1.822,-2.171,1.271,1.445,-0.179,-3.343,0.63
1.0,-2.144,1.317,-0.806,-1.247,-3.29,0.427,0.484,1.129,-1.173,2.685
3.0,-4.159,0.926,0.812,0.872,1.295,4.886,-1.12,0.006,-0.036,-0.506
2.0,-1.737,2.545,2.748,2.257,-1.033,1.574,2.925,-0.976,-0.766,-0.4
1.0,0.458,1.247,1.15,-2.353,-0.596,2.142,1.965,0.026,-2.496,2.604
1.0,-0.404,-0.424,2.604,1.932,2.309,-0.241,2.755,4.246,-2.027,0.524
0.0,1.198,2.216,0.509,-0.375,0.647,-3.346,-1.661,3.727,-0.3,-2.19
0.0,4.242,0.533,-2.759,-0.488,-3.803,-3.371,1.1,0.903,1.035,-0.064
2.0,-2.297,-1.611,-3.027,-0.892,4.099,2.12,4.932,-1.754,-1.56,-2.551
2.0,-3.977,2.817,-1.915,-0.805,2.825,2.154,1.796,0.409,0.746,-2.317
0.0,-0.75,2.553,-2.518,-0.165,0.987,-1.173,-0.95,0.529,-1.784,-0.164
2.0,-2.609,0.219,1.191,4.154,0.95,-0.247,3.987,-0.632,-0.862,-3.868
1.0,1.411,4.878,3.858,-0.624,1.225,3.411,3.32,0.026,-0.975,1.699
2.0,-0.179,4.894,0.513,1.732,1.022,-2.674,0.532,0.961,-4.596,0.072
3.0,0.276,-2.054,1.816,1.034,1.095,0.403,2.492,0.795,-3.72,-2.101
0.0,0.683,3.706,1.732,-0.24,3.323,-4.363,-0.785,0.191,-1.022,-0.674
1.0,-0.576,5.254,4.766,2.535,-1.771,3.366,-1.955,-3.962,-0.581,-0.21
3.0,0.441,-0.294,2.212,1.892,1.837,0.727,2.413,1.733,-0.048,0.436
1.0,1.472,1.298,-0.369,-3.94,-0.992,-1.061,4.184,3.675,-0.99,2.969
0.0,-1.579,0.795,1.584,-0.479,1.988,0.861,-1.077,-2.288,2.823,2.813
2.0,0.808,1.378,0.243,-0.255,-0.147,0.449,1.108,2.942,-0.326,-0.688
0.0,0.352,1.404,-1.704,-1.093,1.741,1.218,-0.524,3.897,1.678,-1.114
3.0,-0.064,0.492,4.013,-0.399,-1.574,2.123,-1.242,0.512,-0.044,0.603
2.0,1.217,3.154,2.248,-1.277,-1.417,-0.802,-0.094,0.149,-3.114,0.322
0.0,2.968,0.956,-6.332,-2.35,-1.431,-0.329,-0.93,4.207,1.56,-2.518
3.0,-1.407,-1.387,1.851,0.301,1.818,-0.958,1.668,1.196,-1.458,-0.035
1.0,2.747,-0.768,-2.635,-7.282,-2.197,-3.937,6.61,5.478,-2.372,5.162
2.0,0.331,-0.22,-1.921,-3.95,0.559,2.384,4.176,3.772,-1.925,-0.478
0.0,1.405,0.503,-3.981,-2.13,1.961,-0.182,-4.125,2.059,3.749,-2.259
2.0,-1.86,1.746,-1.331,-0.242,1.39,-0.533,0.995,-0.69,-1.819,-0.308
1.0,4.152,1.28,3.598,-2.1,-3.357,0.909,0.967,2.046,-2.522,1.085
2.0,-3.388,-0.391,-1.805,-0.905,2.293,3.835,2.721,1.773,1.39,-1.792
0.0,1.91,1.834,0.672,-1.275,0.853,-0.159,-1.755,2.185,-0.408,-2.789
2.0,2.153,-1.126,-2.267,-3.579,2.725,1.994,-0.419,3.918,-0.334,-1.738
0.0,1.878,1.952,-1.448,-1.195,-0.084,-2.253,0.741,1.362,-1.14,-0.584
2.0,-2.3,2.17,-1.76,0.783,0.996,-1.146,2.373,0.076,-2.349,-2.163
3.0,-1.21,-0.74,0.034,3.354,2.011,1.052,1.66,4.91,-2.762,-1.328
1.0,1.456,0.194,3.469,-1.383,0.6,4.406,2.084,0.284,-1.216,-0.229
0.0,0.358,0.779,-2.199,-0.816,-0.771,-2.763,-2.065,-0.207,-0.624,-1.193
3.0,0.532,-1.628,1.872,0.238,0.786,0.376,2.478,3.407,0.663,0.15
2.0,-2.91,2.89,0.146,-2.664,2.064,5.972,-0.75,0.417,0.64,-1.31
1.0,0.881,3.446,2.719,-0.492,1.299,3.576,2.642,-0.308,0.87,0.304
2.0,-3.686,0.881,-2.167,3.059,4.269,3.572,2.046,-0.394,-0.434,-3.728
1.0,4.756,3.941,3.604,-2.552,-2.06,-2.463,2.207,1.767,-0.617,2.09
0.0,3.704,2.925,-1.762,-1.54,2.184,0.116,-0.464,4.008,2.021,-2.011
3.0,-1.881,1.308,3.27,0.821,1.57,3.99,3.222,3.827,-4.596,-0.309
0.0,3.932,1.842,-0.723,-1.098,1.467,-0.741,-1.916,-1.195,2.029,-0.688
1.0,1.493,3.622,1.315,-1.735,2.523,3.368,3.58,-1.249,-3.159,1.536
