y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40
0.0,0.094,0.201,0.271,0.868,0.468,0.622,0.628,0.266,0.26,0.272,0.588,0.695,0.95,0.616,0.84,0.12,0.041,0.101,0.097,0.215,0.146,0.061,0.786,0.921,0.989,0.214,0.723,0.589,0.587,0.036,0.466,0.02,0.587,0.378,0.799,0.589,0.246,0.774,0.71,0.401
1.0,0.893,0.39,0.351,0.663,0.302,0.612,0.981,0.668,0.574,0.769,0.498,0.102,0.532,0.432,0.046,0.412,0.982,0.897,0.668,0.207,0.492,0.786,0.66,0.682,0.15,0.588,0.933,0.334,0.572,0.213,0.911,0.158,0.922,0.993,0.079,0.673,0.156,0.641,0.633,0.415
1.0,0.168,0.179,0.279,0.393,0.676,0.131,0.361,0.8,0.61,0.431,0.355,0.329,0.299,0.29,0.846,0.277,0.561,0.264,0.46,0.756,0.051,0.079,0.547,0.168,0.003,0.373,0.562,0.394,0.416,0.898,0.036,0.906,0.721,0.323,0.57,0.523,0.67,0.728,0.31,0.72
0.0,0.981,0.093,0.802,0.22,0.889,0.828,0.427,0.667,0.898,0.617,0.42,0.812,0.743,0.461,0.431,0.376,0.975,0.228,0.354,0.338,0.899,0.669,0.486,0.226,0.652,0.523,0.077,0.574,0.359,0.21,0.813,0.178,0.286,0.471,0.219,0.679,0.881,0.927,0.361,0.423
0.0,0.992,0.681,0.387,0.222,0.408,0.854,0.061,0.25,0.343,0.8,0.732,0.538,0.254,0.804,0.868,0.976,0.787,0.689,0.114,0.37,0.479,0.096,0.262,0.728,0.412,0.821,0.383,0.638,0.274,0.668,0.236,0.934,0.754,0.137,0.764,0.23,0.422,0.48,0.84,0.468
0.0,0.775,0.23,0.613,0.92,0.67,0.124,0.53,0.877,0.337,0.669,0.275,0.895,0.421,0.629,0.767,0.124,0.944,0.56,0.683,0.885,0.086,0.722,0.875,0.827,0.904,0.107,0.645,0.475,0.27,0.012,0.376,0.907,0.567,0.703,0.457,0.174,0.407,0.743,0.107,0.018
0.0,0.807,0.764,0.084,0.497,0.87,0.347,0.363,0.657,0.205,0.071,0.553,0.235,0.159,0.809,0.36,0.869,0.224,0.931,0.509,0.297,0.056,0.435,0.61,0.165,0.324,0.63,0.355,0.728,0.514,0.051,0.614,0.442,0.187,0.154,0.625,0.461,0.064,0.084,0.067,0.469
1.0,0.009,0.057,0.062,0.277,0.83,0.673,0.841,0.959,0.642,0.002,0.963,0.457,0.858,0.93,0.91,0.334,0.028,0.495,0.03,0.242,0.382,0.152,0.042,0.693,0.617,0.721,0.515,0.91,0.829,0.255,0.189,0.676,0.546,0.016,0.155,0.95,0.338,0.415,0.377,0.339
1.0,0.513,0.769,0.139,0.863,0.359,0.443,0.101,0.197,0.354,0.219,0.581,0.018,0.023,0.938,0.652,0.043,0.127,0.673,0.813,0.063,0.547,0.028,0.443,0.419,0.626,0.593,0.042,0.391,0.914,0.867,0.168,0.145,0.486,0.551,0.719,0.871,0.29,0.094,0.314,0.398
0.0,0.557,0.93,0.118,0.516,0.262,0.281,0.254,0.741,0.054,0.28,0.245,0.942,0.933,0.799,0.832,0.606,0.021,0.258,0.954,0.522,0.562,0.529,0.133,0.628,0.916,0.768,0.115,0.51,0.917,0.451,0.105,0.619,0.143,0.553,0.085,0.087,0.673,0.433,0.661,0.867
1.0,0.123,0.836,0.93,0.505,0.481,0.872,0.066,0.116,0.391,0.917,0.844,0.714,0.941,0.017,0.83,0.544,0.636,0.097,0.957,0.379,0.689,0.521,0.144,0.399,0.022,0.371,0.937,0.503,0.275,0.634,0.077,0.741,0.112,0.273,0.254,0.475,0.953,0.192,0.528,0.633
0.0,0.91,0.4,0.045,0.703,0.48,0.13,0.409,0.927,0.051,0.413,0.953,0.786,0.021,0.247,0.328,0.729,0.95,0.056,0.471,0.08,0.53,0.349,0.523,0.611,0.353,0.51,0.187,0.52,0.675,0.426,0.863,0.455,0.675,0.223,0.507,0.849,0.175,0.497,0.02,0.292
0.0,0.431,0.652,0.339,0.168,0.327,0.79,0.404,0.121,0.738,0.539,0.646,0.515,0.23,0.204,0.941,0.841,0.681,0.869,0.994,0.155,0.47,0.316,0.815,0.866,0.937,0.438,0.216,0.057,0.859,0.026,0.24,0.146,0.981,0.662,0.436,0.219,0.725,0.813,0.643,0.897
0.0,0.889,0.714,0.14,0.098,0.442,0.759,0.599,0.618,0.391,0.271,0.054,0.079,0.161,0.145,0.126,0.571,0.537,0.794,0.416,0.636,0.875,0.993,0.881,0.756,0.971,0.661,0.954,0.43,0.533,0.79,0.209,0.346,0.205,0.859,0.702,0.268,0.526,0.352,0.111,0.867
0.0,0.943,0.538,0.124,0.81,0.264,0.438,0.251,0.718,0.902,0.269,0.184,0.882,0.058,0.715,0.86,0.755,0.385,0.89,0.89,0.899,0.254,0.39,0.476,0.174,0.967,0.217,0.775,0.534,0.799,0.738,0.775,0.273,0.516,0.647,0.925,0.339,0.292,0.767,0.623,0.675
0.0,0.107,0.764,0.628,0.878,0.844,0.18,0.686,0.57,0.205,0.291,0.256,0.068,0.641,0.472,0.049,0.715,0.282,0.174,0.402,0.27,0.313,0.201,0.517,0.32,0.985,0.417,0.132,0.984,0.287,0.431,0.501,0.359,0.461,0.199,0.187,0.092,0.762,0.939,0.129,0.439
0.0,0.23,0.076,0.477,0.195,0.666,0.753,0.26,0.229,0.566,0.093,0.904,0.473,0.062,0.537,0.703,0.537,0.593,0.264,0.449,0.586,0.444,0.377,0.785,0.662,0.289,0.035,0.727,0.909,0.78,0.931,0.894,0.83,0.486,0.407,0.584,0.535,0.988,0.954,0.611,0.424
0.0,0.025,0.501,0.712,0.796,0.392,0.518,0.639,0.425,0.949,0.931,0.041,0.868,0.85,0.829,0.422,0.868,0.989,0.31,0.729,0.024,0.655,0.984,0.45,0.462,0.619,0.012,0.402,0.609,0.728,0.799,0.608,0.947,0.031,0.651,0.583,0.3,0.608,0.018,0.728,0.33
0.0,0.474,0.715,0.934,0.488,0.22,0.414,0.091,0.118,0.636,0.269,0.371,0.95,0.987,0.71,0.608,0.05,0.673,0.555,0.433,0.695,0.184,0.137,0.063,0.684,0.982,0.951,0.063,0.417,0.407,0.599,0.393,0.871,0.734,0.488,0.742,0.987,0.666,0.339,0.738,0.305
0.0,0.044,0.671,0.233,0.963,0.003,0.941,0.022,0.563,0.948,0.483,0.619,0.168,0.037,0.991,0.879,0.448,0.104,0.652,0.34,0.799,0.24,0.655,0.814,0.607,0.027,0.413,0.671,0.552,0.929,0.929,0.528,0.62,0.626,0.824,0.047,0.702,0.393,0.103,0.753,0.863
0.0,0.389,0.193,0.166,0.297,0.064,0.366,0.481,0.547,0.379,0.677,0.849,0.332,0.076,0.661,0.044,0.311,0.453,0.612,0.059,0.778,0.112,0.976,0.956,0.019,0.238,0.699,0.661,0.401,0.262,0.088,0.641,0.299,0.511,0.522,0.526,0.05,0.972,0.823,0.401,0.858
0.0,0.213,0.389,0.359,0.401,0.877,0.457,0.023,0.402,0.708,0.418,0.396,0.073,0.377,0.191,0.952,0.181,0.917,0.902,0.691,0.695,0.603,0.881,0.938,0.474,0.193,0.036,0.145,0.833,0.877,0.046,0.838,0.776,0.392,0.339,0.864,0.315,0.001,0.212,0.985,0.626
1.0,0.893,0.616,0.19,0.261,0.547,0.543,0.723,0.883,0.739,0.443,0.647,0.511,0.018,0.264,0.394,0.119,0.305,0.411,0.395,0.539,0.028,0.405,0.471,0.072,0.828,0.152,0.714,0.812,0.938,0.242,0.535,0.157,0.091,0.251,0.122,0.978,0.5,0.557,0.984,0.819
0.0,0.538,0.592,0.165,0.137,0.327,0.401,0.506,0.791,0.425,0.004,0.674,0.879,0.954,0.449,0.31,0.802,0.951,0.758,0.401,0.218,0.307,0.498,0.485,0.92,0.748,0.163,0.09,0.352,0.179,0.656,0.269,0.538,0.572,0.471,0.863,0.45,0.462,0.562,0.827,0.786
1.0,0.54,0.598,0.543,0.934,0.189,0.587,0.228,0.872,0.866,0.667,0.481,0.764,0.422,0.722,0.85,0.789,0.538,0.698,0.852,0.982,0.156,0.472,0.765,0.609,0.522,0.344,0.198,0.204,0.017,0.284,0.744,0.458,0.671,0.818,0.715,0.327,0.347,0.744,0.537,0.814
1.0,0.84,0.171,0.698,0.29,0.308,0.394,0.016,0.589,0.95,0.477,0.829,0.193,0.41,0.983,0.569,0.722,0.981,0.738,0.175,0.431,0.192,0.834,0.418,0.648,0.374,0.021,0.36,0.783,0.969,0.603,0.183,0.811,0.893,0.076,0.162,0.007,0.187,0.622,0.736,0.921
0.0,0.413,0.187,0.581,0.499,0.897,0.427,0.112,0.58,0.737,0.093,0.822,0.399,0.309,0.575,0.441,0.176,0.82,0.355,0.964,0.918,0.513,0.412,0.179,0.906,0.722,0.306,0.748,0.198,0.35,0.607,0.45,0.374,0.702,0.126,0.717,0.75,0.687,0.665,0.633,0.673
0.0,0.162,0.99,0.104,0.376,0.717,0.065,0.56,0.234,0.647,0.257,0.894,0.827,0.45,0.965,0.877,0.427,0.628,0.736,0.573,0.252,0.501,0.118,0.684,0.024,0.861,0.452,0.132,0.86,0.995,0.506,0.984,0.693,0.591,0.03,0.667,0.269,0.963,0.613,0.538,0.119
1.0,0.145,0.002,0.218,0.441,0.151,0.349,0.208,0.029,0.305,0.52,0.604,0.709,0.798,0.934,0.62,0.195,0.76,0.629,0.484,0.38,0.698,0.907,0.943,0.077,0.661,0.845,0.126,0.959,0.652,0.222,0.073,0.579,0.668,0.088,0.623,0.863,0.317,0.27,0.151,0.666
0.0,0.344,0.952,0.686,0.452,0.97,0.264,0.748,0.489,0.046,0.914,0.504,0.061,0.862,0.963,0.191,0.557,0.304,0.512,0.815,0.395,0.046,0.179,0.603,0.422,0.742,0.823,0.741,0.663,0.101,0.677,0.04,0.983,0.56,0.245,0.725,0.184,0.048,0.809,0.711,0.558
0.0,0.785,0.259,0.027,0.973,0.957,0.495,0.386,0.736,0.526,0.597,0.65,0.125,0.867,0.13,0.594,0.892,0.934,0.013,0.748,0.889,0.893,0.044,0.99,0.518,0.072,0.151,0.715,0.908,0.995,0.934,0.482,0.196,0.404,0.623,0.566,0.633,0.361,0.915,0.907,0.308
0.0,0.694,0.223,0.069,0.55,0.577,0.516,0.122,0.439,0.818,0.634,0.819,0.031,0.427,0.128,0.478,0.923,0.328,0.635,0.214,0.615,0.682,0.27,0.169,0.0,0.911,0.323,0.34,0.523,0.237,0.404,0.356,0.996,0.329,0.211,0.767,0.676,0.107,0.61,0.906,0.374
0.0,0.457,0.966,0.723,0.394,0.967,0.101,0.819,0.156,0.104,0.871,0.805,0.219,0.206,0.444,0.695,0.747,0.484,0.391,0.53,0.933,0.423,0.788,0.867,0.433,0.327,0.02,0.053,0.098,0.414,0.018,0.594,0.885,0.824,0.794,0.991,0.149,0.778,0.724,0.816,0.37
0.0,0.279,0.921,0.088,0.715,0.973,0.488,0.532,0.187,0.462,0.534,0.021,0.444,0.232,0.837,0.486,0.794,0.782,0.347,0.401,0.052,0.08,0.463,0.443,0.087,0.418,0.082,0.95,0.506,0.819,0.213,0.191,0.849,0.927,0.001,0.301,0.532,0.341,0.847,0.638,0.175
0.0,0.8,0.927,0.55,0.659,0.868,0.814,0.087,0.354,0.284,0.424,0.432,0.418,0.905,0.112,0.396,0.444,0.764,0.346,0.814,0.225,0.702,0.305,0.776,0.808,0.824,0.847,0.394,0.44,0.404,0.322,0.16,0.58,0.946,0.006,0.377,0.253,0.414,0.14,0.603,0.681
0.0,0.855,0.398,0.291,0.425,0.475,0.395,0.27,0.467,0.6,0.521,0.503,0.289,0.182,0.789,0.378,0.156,0.022,0.115,0.589,0.815,0.941,0.2,0.816,0.891,0.96,0.801,0.553,0.728,0.966,0.501,0.679,0.128,0.041,0.568,0.814,0.023,0.536,0.574,0.004,0.168
0.0,0.007,0.579,0.659,0.894,0.039,0.831,0.858,0.214,0.069,0.347,0.049,0.736,0.69,0.499,0.039,0.881,0.32,0.96,0.95,0.012,0.978,0.113,0.896,0.801,0.235,0.2,0.52,0.094,0.339,0.491,0.334,0.414,0.126,0.578,0.584,0.761,0.959,0.48,0.701,0.834
1.0,0.748,0.328,0.417,0.042,0.05,0.985,0.642,0.709,0.27,0.052,0.796,0.487,0.808,0.272,0.707,0.019,0.525,0.639,0.589,0.172,0.138,0.437,0.68,0.461,0.073,0.487,0.373,0.091,0.081,0.695,0.267,0.286,0.048,0.668,0.816,0.041,0.347,0.855,0.153,0.274
0.0,0.552,0.95,0.48,0.057,0.235,0.531,0.807,0.958,0.829,0.668,0.38,0.05,0.65,0.499,0.254,0.788,0.521,0.265,0.23,0.341,0.139,0.698,0.797,0.093,0.871,0.227,0.648,0.796,0.974,0.143,0.303,0.288,0.509,0.082,0.511,0.782,0.098,0.949,0.286,0.103
